file,paragraph_id,section,governing_question,one_sentence_answer,evidence_or_mechanism,scope_condition,transition_to_next_paragraph,recommended_action
main.tex,main.tex:P0069,MPI-only evolution variants,What posterior object or computation is being defined?,"he state into blocks and sets [ W_t( q)= q_1 Q_ 1t , ,q_J Q_ Jt , q_j (a_j,b_j), ] where the ( Q_ jt ) are fixed positive-definite templates and the multipliers are shared across the two roots to preserve exchangeability.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: experimental, fixed, not, only, requires.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0070,Scan-Calibrated Tolerance Actions,What role does this paragraph play in Scan-Calibrated Tolerance Actions?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: The preceding theory fixes population content and interval placement. A tolerance interval adds a repeated-sampling requirement. For iid continuous univariate o,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0071,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,The preceding theory fixes population content and interval placement.,definition or mathematical construction,Scope is conditional; paragraph includes cues: iid.,"Next paragraph begins: Let (Y_ (1) Y_ (n) ). For content (c ), define the uniform scan statistic [ M_n(c)= _ 0 s 1-c # i:U_i , U_i (0,1). ] The calibrated retained count is [ k_ n,c, ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0072,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,Let (Y_ (1) Y_ (n) ).,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, not, open, requires, under.","Next paragraph begins: The full-distribution Bayesian layer instead models (F ) directly. With [ F (a,H), Y_i F F, ] the posterior is ( (a+n,H_n) ), where (H_n=(aH+ _i _ Y_i )/(a+n) )",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0073,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,The full-distribution Bayesian layer instead models (F ) directly.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, not, under.","Next paragraph begins: The hybrid Bayesian--scan tolerance action is the first minimum-width closed order-statistic interval satisfying both constraints: [ T^ _n = _ , , [Y_ (j) ,Y_ (",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0074,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,The hybrid Bayesian--scan tolerance action is the first minimum-width closed order-statistic interval satisfying both constraints:,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not, only.",Next paragraph begins: A sample-split alternative removes this same-sample placement issue for the univariate tolerance action. Randomly divide the observations into an independent pi,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0075,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,A sample-split alternative removes this same-sample placement issue for the univariate tolerance action.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, iid, not.","Next paragraph begins: Numerical evaluation of (k_ n,c, ) is consequential because it sets the reported interval. The numerical procedure uses Monte Carlo calibration of the uniform s",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0076,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,"Numerical evaluation of (k_ n,c, ) is consequential because it sets the reported interval.",formal statement or proof,"Scope is conditional; paragraph includes cues: not, open.","Next paragraph begins: Table~ separates established MTI results from the claims that still require an action-matched proof. This separation allows the empirical action, numerical cali",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0077,Scan-Calibrated Tolerance Actions,What posterior object or computation is being defined?,Table~ separates established MTI results from the claims that still require an action-matched proof.,formal statement or proof,No special scope condition beyond surrounding section.,Next paragraph begins: [H] The empirical closed order-statistic window is the formal tolerance action. Generalized-posterior summaries concern fixed endpoint functionals and are not s,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0078,Scan-Calibrated Tolerance Actions,What formal result or assumption is being established?,The population shortest-window path gives a useful geometry for moving across contents.,formal statement or proof,"Scope is conditional; paragraph includes cues: if, only, regular, under.","Next paragraph begins: The path algorithm starts from a globally solved content, predicts each next window by nested expansion of the previous window, applies local correction in a tr",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0079,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,"next window by nested expansion of the previous window, applies local correction in a trust region, expands the region when the local optimum lands on its boundary, and finally verifies the formal action by a global scan.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: not, when.","Next paragraph begins: The construction therefore retains three distinct outputs: an empirical scan tolerance action, a full-distribution Bayesian shortest-interval UQ action, and fix",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0080,Scan-Calibrated Tolerance Actions,How is the tolerance or scan action distinguished from target uncertainty?,The construction therefore retains three distinct outputs:,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, not, requires.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0081,Computational Validation and Evaluation Scope,What role does this paragraph play in Computational Validation and Evaluation Scope?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: The evidence is organized in three tiers because the claims have different targets. Population calculations verify the fixed-content and mean-tilt characterizat,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0082,Computational Validation and Evaluation Scope,How is the tolerance or scan action distinguished from target uncertainty?,The evidence is organized in three tiers because the claims have different targets.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.",Next paragraph begins: Figures~ and~ provide the second tier: fixed-target single-data illustrations for a static readout and a dynamic root model. The population law and recovery til,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0083,Computational Validation and Evaluation Scope,What posterior object or computation is being defined?,Figures~ and~ provide the second tier:,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: [!htbp] A single nonlinear heteroscedastic fixed-design data set with (n=2 , 400 ) is generated from the left-skewed response law described in the text, with co",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0084,Computational Validation and Evaluation Scope,How is the tolerance or scan action distinguished from target uncertainty?,"The confirmatory tolerance-validation protocol is designed before inspecting comparative results, following simulation-study reporting principles .",algorithmic derivation or computational identity,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: This protocol is also the gate for scientific comparison. Fixed-rate nonzero tilt already has verified full-conditional algebra, zero-tilt equivalence checks, d",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0085,Computational Validation and Evaluation Scope,What posterior object or computation is being defined?,This protocol is also the gate for scientific comparison.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, not, requires.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0086,Discussion and Next Steps,What role does this paragraph play in Discussion and Next Steps?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Probability content alone determines a class, not an interval placement. MPI selects its mean-preserving member under the stated population conditions. The mean",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0087,Discussion and Next Steps,How does the dynamic root-state construction preserve the target?,"Probability content alone determines a class, not an interval placement.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, under.",Next paragraph begins: The generalized-Bayes computation follows directly from this target. The normal--exponential representation augments the generalized posterior with one latent s,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0088,Discussion and Next Steps,What posterior object or computation is being defined?,The generalized-Bayes computation follows directly from this target.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: not, regular.",Next paragraph begins: The dynamic extension preserves the interval target while replacing static coefficients by evolving root states. A Gaussian stacked prior does not overcome the ,retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0089,Discussion and Next Steps,What posterior object or computation is being defined?,The dynamic extension preserves the interval target while replacing static coefficients by evolving root states.,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: The tolerance proposal adds a distinct frequentist layer. A scan statistic chooses an empirical retained count, after which the shortest closed order-statistic ",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0090,Discussion and Next Steps,How is the tolerance or scan action distinguished from target uncertainty?,The tolerance proposal adds a distinct frequentist layer.,formal statement or proof,"Scope is conditional; paragraph includes cues: fixed, only, requires.","Next paragraph begins: The limitations delimit several next steps. Population identification is unrestricted and pointwise, whereas regression and state-space models impose restricted",retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0091,Discussion and Next Steps,How does the dynamic root-state construction preserve the target?,The limitations delimit several next steps.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, iid, not.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
main.tex,main.tex:P0092,Discussion and Next Steps,What role does this paragraph play in Discussion and Next Steps?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0001,preamble,What role does this paragraph play in preamble?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: colorlinks=true, linkcolor=black, citecolor=black, urlcolor=black, pdftitle= Supplementary Material: Mean-Tilted Intervals: A Generalized-Bayes Approach to Fixed-Content and Tolerance Intervals",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0002,preamble,How is the tolerance or scan action distinguished from target uncertainty?,"colorlinks=true, linkcolor=black, citecolor=black, urlcolor=black, pdftitle= Supplementary Material:",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: [1] [1] 4pt 1.08 arg ,min Proposition [proposition] Lemma [proposition] Theorem S [1] [leftmargin=2.2em,itemsep=0.25em,parsep=0pt]",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0003,preamble,What formal result or assumption is being established?,"[1] [1] 4pt 1.08 arg ,min Proposition [proposition] Lemma [proposition] Theorem S [1] [leftmargin=2.2em,itemsep=0.25em,parsep=0pt]",formal statement or proof,No special scope condition beyond surrounding section.,Next paragraph begins: S S S S S . S,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0004,preamble,What role does this paragraph play in preamble?,S S S S S .,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: Supplementary Material for,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0005,preamble,What role does this paragraph play in preamble?,Supplementary Material for,interpretive transition or scope statement,No special scope condition beyond surrounding section.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0006,Supplement Scope and Navigation,What role does this paragraph play in Supplement Scope and Navigation?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The main article carries the statistical narrative. The supplement is a recovery document for definitions, proofs, computational identities, and claim scope. Th",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0007,Supplement Scope and Navigation,What posterior object or computation is being defined?,The main article carries the statistical narrative.,formal statement or proof,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: [H] @ l> X > X@ Symbol & Role & Scope (c,u ) & content level and lower probability-window index & population theory (m,h, ) & midpoint, half-width, and fixed re",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0008,Supplement Scope and Navigation,What evidence or reproducibility role does this paragraph serve?,The supplement is organized as a support map for the main article rather than as a second narrative paper.,"generated artifact, validation fixture, or diagnostic summary",No special scope condition beyond surrounding section.,"Next paragraph begins: [H] The table separates population identification, finite-sample score identities, static uncertainty geometry, computation, and reproducibility scope. @ > p 0.",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0009,Supplement Scope and Navigation,What evidence or reproducibility role does this paragraph serve?,Table~ records the status vocabulary used in this supplement.,"generated artifact, validation fixture, or diagnostic summary",No special scope condition beyond surrounding section.,"Next paragraph begins: [H] Status labels are attached to the strongest current support, not to intended future scope. @ > p 0.23 > p 0.31 > X@ Status & Objects currently carrying the ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0010,Supplement Scope and Navigation,How is the tolerance or scan action distinguished from target uncertainty?,"In the scan-calibrated MTI plug-in construction, the retained content and shortest-window tilt are computed before the generalized posterior is fitted.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, when.","Next paragraph begins: The population-theory part supports the main article's fixed-content, MPI, MTI, finite-sample balance, and static uncertainty claims. It works before any algori",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0011,Part II. Population Theory and Proofs,How does the dynamic root-state construction preserve the target?,"The population-theory part supports the main article's fixed-content, MPI, MTI, finite-sample balance, and static uncertainty claims.",algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, under.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0012,Fixed-Content Interval Functionals,What role does this paragraph play in Fixed-Content Interval Functionals?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The population interval class is most transparent on the probability scale. Suppress (x ) and write [ I_c(u)=[Q(u),Q(u+c)], M_c(u)= c _u^ u+c Q(v) ,dv, W_c(u)=Q",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0013,Fixed-Content Interval Functionals,How is the MPI target identified or scoped?,The population interval class is most transparent on the probability scale.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: if, regular, under.","Next paragraph begins: Under a symmetric unimodal distribution, all three intervals coincide. Under asymmetry, their widths need not coincide; only the shortest interval is ordered ag",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0014,Fixed-Content Interval Functionals,What role does this paragraph play in Fixed-Content Interval Functionals?,"Under a symmetric unimodal distribution, all three intervals coincide.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, only, under.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0015,MPI Loss: Scores and Consequences,What role does this paragraph play in MPI Loss: Scores and Consequences?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The derivation starts from the endpoint scores because those scores determine both content and placement. Fix a covariate value (x ), a desired content (c (0,1)",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0016,MPI Loss: Scores and Consequences,What role does this paragraph play in MPI Loss: Scores and Consequences?,The derivation starts from the endpoint scores because those scores determine both content and placement.,definition or mathematical construction,Scope is conditional; paragraph includes cues: only.,"Next paragraph begins: Define (I_ a,b (Y)= (a<Y<b) ). Away from the two roots, the derivative of the check loss with respect to its scalar argument is (c-I_ a,b (Y) ). Assume ( (Y^2 X",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0017,MPI Loss: Scores and Consequences,What formal result or assumption is being established?,"Define (I_ a,b (Y)= (a<Y<b) ).",definition or mathematical construction,No special scope condition beyond surrounding section.,"Next paragraph begins: The second equation is equivalently [ (Y a<Y<b,X=x)= (Y X=x) ] and ( Y,I_ a,b (Y) X=x =0 ). It does not imply independence, symmetry, or equal-tailed endpoints.",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0018,MPI Loss: Scores and Consequences,What role does this paragraph play in MPI Loss: Scores and Consequences?,"The second equation is equivalently [ (Y a<Y<b,X=x)= (Y X=x) ] and ( Y,I_ a,b (Y) X=x =0 ).",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: Let ( _x= (Y X=x) ). Since ( (Y- _x X=x)=0 ), the first-moment equation is also equivalent to _ - ^ a ( _x-y) ,dF_x(y) = _b^ (y- _x) ,dF_x(y). Thus MPI balances",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0019,MPI Loss: Scores and Consequences,How is the MPI target identified or scoped?,Let ( _x= (Y X=x) ).,definition or mathematical construction,Scope is conditional; paragraph includes cues: not.,"Next paragraph begins: [Quantile-window identification] Suppose, in addition, that (F_x ) is continuous and strictly increasing on its support, and let (Q_x=F_x^ -1 ). Define [ M_ c,x",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0020,MPI Loss: Scores and Consequences,What role does this paragraph play in MPI Loss: Scores and Consequences?,"If (F_x ) is symmetric about ( _x ), then (Q_x(1-v)=2 _x-Q_x(v) ).",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: if, not.","Next paragraph begins: The distribution conditional on interval membership and its complementary tail distribution both have mean ( _x ). This is a first-moment statement, not indepen",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0021,MPI Loss: Scores and Consequences,How does the dynamic root-state construction preserve the target?,The distribution conditional on interval membership and its complementary tail distribution both have mean ( _x ).,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: not, under.","Next paragraph begins: [Mean-preserving contraction] Let (Y_ ) and (Y_ ) have the conditional distributions of (Y ) given (a<Y<b ) and (Y (a,b) ), respectively, at a regular MPI targe",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0022,"Interval path, response scale, and tail sensitivity",How does the dynamic root-state construction preserve the target?,"Retain the quantile-window characterization and assume, for this derivative calculation, connected support and positive continuous density at the relevant endpoint quantiles.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, if, not, regular, under.","Next paragraph begins: For (Y^ =r+sY ), (s>0 ), the MPI endpoints transform as [ L_c^ =r+sL_c, U_c^ =r+sU_c. ] For the tilted family, ( ^ =s ) and [ ^ _ c, ^ (r+sa,r+sb;r+sy) =s^2 _ c",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0023,"Interval path, response scale, and tail sensitivity",What posterior object or computation is being defined?,"For (Y^ =r+sY ), (s>0 ), the MPI endpoints transform as [ L_c^ =r+sL_c, U_c^ =r+sU_c.",interpretive transition or scope statement,Scope is conditional; paragraph includes cues: if.,"Next paragraph begins: Finally, with fixed endpoints, ( _c (y-a)(y-b) =O(y^2) ) as (|y| ), and the endpoint scores grow linearly in (|y| ). MPI is distribution-free in the sense that ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0024,"Interval path, response scale, and tail sensitivity",How is the MPI target identified or scoped?,"Finally, with fixed endpoints, ( _c (y-a)(y-b) =O(y^2) ) as (|y| ), and the endpoint scores grow linearly in (|y| ).",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: Endpoint atoms require directional conditions. Write (m=(a+b)/2 ), (h=(b-a)/2>0 ), so (e=(Y-m)^2-h^2 ). The left and right derivatives in (h ) are [ D_-R_x(m,h)",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0025,"Interval path, response scale, and tail sensitivity","What role does this paragraph play in Interval path, response scale, and tail sensitivity?",Endpoint atoms require directional conditions.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: if, not, under, when.","Next paragraph begins: These implications are conditional, pointwise, and assumption dependent. They do not follow by treating estimated data-dependent endpoints as fixed. For linear ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0026,"Interval path, response scale, and tail sensitivity","What role does this paragraph play in Interval path, response scale, and tail sensitivity?","These implications are conditional, pointwise, and assumption dependent.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not.","Next paragraph begins: The finite-sample unbiasedness calculation in treats fitted, data-dependent endpoints as fixed, and its zero-gradient argument does not cover nonsmooth optima w",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0027,"Interval path, response scale, and tail sensitivity",How is the MPI target identified or scoped?,"The finite-sample unbiasedness calculation in treats fitted, data-dependent endpoints as fixed, and its zero-gradient argument does not cover nonsmooth optima when an observation coincides with a fitted root.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, requires, when.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0028,The Mean-Tilted Interval Loss,What role does this paragraph play in The Mean-Tilted Interval Loss?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The MTI loss keeps the content score of MPI and shifts only the retained-mean equation. For a fixed mean tilt ( ), define _ c, ^ (m,h;y) = _c (y-m)^2-h^2 -2c (m",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0029,The Mean-Tilted Interval Loss,How is the MPI target identified or scoped?,The MTI loss keeps the content score of MPI and shifts only the retained-mean equation.,definition or mathematical construction,"Scope is conditional; paragraph includes cues: fixed, not, only.","Next paragraph begins: The losses and the MPI ( =0 ) loss are invariant to exchanging the two raw roots. With exchangeable root priors, the unordered pair is identified but the labels",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0030,The Mean-Tilted Interval Loss,How does the dynamic root-state construction preserve the target?,The losses and the MPI ( =0 ) loss are invariant to exchanging the two raw roots.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: if, not.","Next paragraph begins: [Fixed-content mean-tilted target] Under the regularity conditions in Section~ , a nondegenerate interior stationary point ((m_ ,h_ ) ) satisfies [ (|Y-m_ |<h_ ",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0031,The Mean-Tilted Interval Loss,What role does this paragraph play in The Mean-Tilted Interval Loss?,"For fixed (m ), write (Z_m=(Y-m)^2 ) and (q=h^2 ).",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, under.","Next paragraph begins: [Global profiled-risk identification] Under the conditions of Lemma~ , set (u_c(m)=F m-h_c(m) ), so (u_c(m) ). For [ _-:=M_c(0)- < < _+:=M_c(1-c)- , ] the expec",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0032,The Mean-Tilted Interval Loss,How does the MTI tilt define placement or computation?,Lemma~ gives .,formal statement or proof,Scope is conditional; paragraph includes cues: fixed.,"Next paragraph begins: The admissible population tilt range is [ M_c(0)- M_c(1-c)- , ] and both endpoint values are finite under the assumed second moment. Interior tilts correspond o",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0033,The Mean-Tilted Interval Loss,How does the MTI tilt define placement or computation?,"The admissible population tilt range is [ M_c(0)- M_c(1-c)- , ] and both endpoint values are finite under the assumed second moment.",interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: if, not, under.","Next paragraph begins: MPI and equal-tailed recovery use [ _ =0, _ =M_c (1-c)/2 - , ] whereas shortest-contiguous recovery is generally set-valued. Define [ _ = M_c(u)- :u U_ . ] If (",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0034,The Mean-Tilted Interval Loss,How is the MPI target identified or scoped?,"MPI and equal-tailed recovery use [ _ =0, _ =M_c (1-c)/2 - , ] whereas shortest-contiguous recovery is generally set-valued.",definition or mathematical construction,"Scope is conditional; paragraph includes cues: if, not.",Next paragraph begins: Implicit differentiation yields [ d = W_c(u_ ) ] and [ d = W_c(u_ ) . ] Hence profiling population width along the interior admissible tilt path identifies any ,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0035,The Mean-Tilted Interval Loss,How does the dynamic root-state construction preserve the target?,Implicit differentiation yields [ d = W_c(u_ ) ] and [ d = W_c(u_ ) .,interpretive transition or scope statement,Scope is conditional; paragraph includes cues: not.,Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0036,First-order Cornish--Fisher tilt anchors,What role does this paragraph play in First-order Cornish--Fisher tilt anchors?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: The recovery identities also give a low-cost initialization diagnostic. Let (Z=(Y- )/ ) have small standardized skewness ( _1 ), and let (z_p= ^ -1 (p) ). The f",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0037,First-order Cornish--Fisher tilt anchors,What evidence or reproducibility role does this paragraph serve?,The recovery identities also give a low-cost initialization diagnostic.,"generated artifact, validation fixture, or diagnostic summary",No special scope condition beyond surrounding section.,"Next paragraph begins: These displays are used as first-order anchors, not as a universal remainder theorem. An (O( ^2) ) statement is defensible only for an explicitly indexed near-N",retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0038,First-order Cornish--Fisher tilt anchors,How does the dynamic root-state construction preserve the target?,"These displays are used as first-order anchors, not as a universal remainder theorem.",formal statement or proof,"Scope is conditional; paragraph includes cues: not, only.",Next paragraph begins: For a known population law these formulas use the true ( _1 ) and ( ). A finite-sample plug-in version may replace them by the adjusted Fisher--Pearson skewness,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0039,First-order Cornish--Fisher tilt anchors,What posterior object or computation is being defined?,For a known population law these formulas use the true ( _1 ) and ( ).,algorithmic derivation or computational identity,"Scope is conditional; paragraph includes cues: fixed, not, under.",Next paragraph begins: The tilt indexes the estimand and is initially treated like a fixed quantile level. A scalar tilt generally defines only a restricted global target in a regress,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0040,First-order Cornish--Fisher tilt anchors,What evidence or reproducibility role does this paragraph serve?,The tilt indexes the estimand and is initially treated like a fixed quantile level.,"generated artifact, validation fixture, or diagnostic summary","Scope is conditional; paragraph includes cues: fixed, only, requires, under.",Next paragraph begins: These population equations do not establish finite-sample propriety under arbitrary root priors. For a fixed learning rate and a finite-dimensional Gaussian roo,retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0041,First-order Cornish--Fisher tilt anchors,What posterior object or computation is being defined?,These population equations do not establish finite-sample propriety under arbitrary root priors.,interpretive transition or scope statement,"Scope is conditional; paragraph includes cues: fixed, not, requires, under.",Next paragraph begins: [display or structural block],retain after 2026-08-13 architecture/prose pass
rqr-gibbs-supplement.tex,rqr-gibbs-supplement.tex:P0042,Static Finite-Sample Balance and Uncertainty Geometry,What role does this paragraph play in Static Finite-Sample Balance and Uncertainty Geometry?,,interpretive transition or scope statement,No special scope condition beyond surrounding section.,"Next paragraph begins: Finite-sample score balance is fractional because observations may lie exactly on fitted roots. For intercept-only roots and fixed ( ), define [ R_n(a,b) = _ i=",retain after 2026-08-13 architecture/prose pass
